source,target,transformed_treat_score,rank,is_known_positive,off_label
CHEBI:6846,MONDO:0000141,3.074855379412771,26817842.0,False,False
CHEBI:4392,MONDO:0005212,3.196452275264927,11020888.0,False,False
CHEBI:83527,MONDO:0013582,3.057883684392678,30011769.0,False,False
CHEBI:5551,MONDO:0000141,3.073783100670706,27013888.0,False,False
CHEBI:8364,MONDO:0000141,3.0580982713113265,29970189.0,False,False
CHEBI:6717,MONDO:0013582,3.1971492379739987,10963317.0,False,False
UNII:GNWE7KJ995,MONDO:0000141,3.0603586250759394,29536242.0,False,False
CHEBI:85993,MONDO:0000141,3.0597080065108893,29661102.0,False,False
CHEBI:47781,MONDO:0006058,3.1979044096980567,10901302.0,False,False
UNII:PP0SHH6V16,MONDO:0005212,3.2043026053851835,10393414.0,False,False
CHEBI:17154,MONDO:0013582,3.074536149236531,26875683.0,False,False
CHEBI:3175,MONDO:0005212,3.1961658684193823,11044741.0,False,False
CHEBI:2922,MONDO:0009759,3.0592823121069914,29742743.0,False,False
CHEBI:48390,MONDO:0000141,3.059043153197767,29788334.0,False,False
UNII:1FQ2RY5YHH,MONDO:0013582,3.060789057449782,29453408.0,False,False
UNII:R43D2573WO,MONDO:0009759,3.0712749813226186,27476863.0,False,False
CHEBI:103855,MONDO:0005212,3.0614163713005746,29333522.0,False,False
CHEBI:135920,MONDO:0009759,3.060868899699138,29438054.0,False,False
CHEBI:92609,MONDO:0013582,3.058799848608163,29834746.0,False,False
CHEBI:3044,MONDO:0009759,3.072829470121923,27189042.0,False,False
CHEBI:32090,MONDO:0000141,3.0599044320290067,29623212.0,False,False
CHEBI:6950,MONDO:0006058,3.201943631196187,10578292.0,False,False
CHEBI:184381,MONDO:0009759,3.060119786224341,29581873.0,False,False
CHEBI:36791,MONDO:0005212,3.200640330776393,10681547.0,False,False
CHEBI:9943,MONDO:0013582,3.135614858138516,17345237.0,False,False
UNII:LYO9XZ250J,MONDO:0006058,3.133765745120132,17584147.0,False,False
CHEBI:45652,MONDO:0013582,3.0410167959277423,33288972.0,False,False
CHEBI:10082,MONDO:0009759,3.037577739021004,33952059.0,False,False
UNII:ROV204583W,MONDO:0006058,3.13663241047077,17214734.0,False,False
CHEMBL.COMPOUND:CHEMBL2108558,MONDO:0006058,3.1306074104823223,17998827.0,False,False
UNII:7NL2E3F6K3,MONDO:0000141,3.0398194615640692,33520647.0,False,False
CHEBI:3568,MONDO:0005212,3.140747055627724,16698218.0,False,False
CHEBI:8212,MONDO:0009759,3.1404750391136362,16731889.0,False,False
CHEBI:50859,MONDO:0000141,3.03889188941615,33699488.0,False,False
CHEBI:27796,MONDO:0006058,3.0385270061487386,33769917.0,False,False
UNII:3A189DH42V,MONDO:0013582,3.040684844867254,33353165.0,False,False
CHEBI:15552,MONDO:0000141,3.1384155423796325,16988504.0,False,False
UNII:QX45B99R3J,MONDO:0009759,3.037899194558043,33890599.0,False,False
CHEBI:63580,MONDO:0013582,3.1299904281425373,18081083.0,False,False
CHEBI:136007,MONDO:0005212,3.1321869083512732,17790739.0,False,False
CHEBI:135888,MONDO:0013582,3.038755292788454,33726076.0,False,False
CHEBI:51210,MONDO:0009759,3.039377594354612,33605864.0,False,False
UNII:DLG4EML025,MONDO:0013582,3.0416100971110502,33173691.0,False,False
CHEBI:74460,MONDO:0005212,3.1352346843983003,17394076.0,False,False
CHEBI:71013,MONDO:0006058,3.133268016753811,17648926.0,False,False
UNII:R15UI3245N,MONDO:0005212,3.1331445021756474,17665148.0,False,False
CHEBI:28621,MONDO:0000141,3.040493803867061,33389978.0,False,False
UNII:SHA6U5FJZL,MONDO:0006058,3.1397937809693794,16816381.0,False,False
CHEBI:27899,MONDO:0000141,3.141144034646001,16649297.0,False,False
UNII:MCN858TCP0,MONDO:0000141,3.0401130400034906,33463822.0,False,False
UNII:K4YTU42T8G,MONDO:0005212,3.040681315399561,33353805.0,False,False
CHEBI:82975,MONDO:0006058,3.038383899965324,33797229.0,False,False
UNII:DE2O63YV8R,MONDO:0005212,3.1333356836335193,17640173.0,False,False
CHEBI:681848,MONDO:0006058,3.135602860246487,17346762.0,False,False
CHEBI:9927,MONDO:0005212,3.1312070008745625,17919610.0,False,False
CHEBI:135930,MONDO:0000141,3.0375149323108994,33964004.0,False,False
CHEBI:6954,MONDO:0009759,3.1406909024169543,16705204.0,False,False
CHEBI:68540,MONDO:0000141,3.1319836148544766,17817576.0,False,False
CHEBI:177658,MONDO:0013582,3.038035428170287,33864340.0,False,False
CHEBI:127342,MONDO:0000141,3.040465657158646,33395457.0,False,False
CHEBI:51209,MONDO:0013582,3.1316374715762088,17863033.0,False,False
CHEBI:70752,MONDO:0005212,3.135480906407972,17362188.0,False,False
CHEBI:32127,MONDO:0013582,3.0395446350688613,33573700.0,False,False
CHEBI:3504,MONDO:0013582,3.038160782004631,33840417.0,False,False
UNII:RSA8KO39WH,MONDO:0013582,3.140326036730217,16750345.0,False,False
UNII:R15UI3245N,MONDO:0009759,3.1371630858010695,17147065.0,False,False
CHEBI:209807,MONDO:0000141,3.041586108316444,33178498.0,False,False
CHEBI:17439,MONDO:0013582,3.038371164552971,33799670.0,False,False
CHEBI:68647,MONDO:0013582,3.0412430553454146,33245086.0,False,False
CHEBI:135939,MONDO:0013582,3.041139136663455,33265313.0,False,False
CHEBI:3764,MONDO:0006058,3.1385255449079863,16974629.0,False,False
UNII:234248D0HH,MONDO:0009759,3.04041340554286,33405643.0,False,False
UNII:0K5743G68X,MONDO:0005212,3.1385004344637517,16977819.0,False,False
CHEBI:8884,MONDO:0005212,3.1302929598464098,18040923.0,False,False
UNII:234248D0HH,MONDO:0005212,3.1394458972242782,16859623.0,False,False
CHEBI:3306,MONDO:0013582,3.0409874632781815,33294612.0,False,False
CHEBI:7575,MONDO:0005212,3.1325291490324614,17745763.0,False,False
CHEBI:229657,MONDO:0000141,3.037792638856457,33910983.0,False,False
CHEBI:59582,MONDO:0000141,3.13171145575419,17853465.0,False,False
CHEBI:47519,MONDO:0000141,3.139531090320182,16849050.0,False,False
CHEBI:6076,MONDO:0009759,3.0380239002900904,33866607.0,False,False
CHEBI:51368,MONDO:0000141,3.0387167034412297,33733634.0,False,False
CHEBI:5088,MONDO:0009759,3.1375074415769846,17103296.0,False,False
CHEBI:68610,MONDO:0005212,3.1339243584113206,17563725.0,False,False
UNII:TL60C27RLH,MONDO:0006058,3.1374846621339922,17106170.0,False,False
CHEBI:134990,MONDO:0013582,3.0399443258727823,33496410.0,False,False
CHEBI:85161,MONDO:0006058,3.1304332394560483,18022069.0,False,False
CHEBI:9332,MONDO:0000141,3.133409012274372,17630440.0,False,False
